qF1,qF2,qF3,qH1,qH2,qH3
-2.3029127694410344e-12,-7.181579776292042e-12,-6.124487150037029e-12,0.0,0.0,0.0
-4.9281499609385756e-11,4.664574316298265e-12,3.659277403540895e-11,3.312532719507925e-11,-1.090501889989204e-11,3.325608456990329e-11
-1.623097884127599e-13,-1.0224349719565662e-12,-2.001007850336882e-11,0.0,-6.261214960053674e-13,-5.452451470311076e-12
0.0,0.0,0.0,1.2458237731781971e-11,1.947391219198521e-11,-4.0999406770849875e-12
2.2970594254932845e-11,-2.7508177198834296e-12,-3.9914059482608594e-11,-5.2585605946310226e-11,-1.2208994018694539e-11,-2.458923547143389e-11
9.897565988194298e-13,-6.899542402119207e-13,-2.0443651319894037e-12,-8.776824840741485e-12,1.0667056455494344e-12,1.1161401796655862e-11
2.4061553507878085e-11,-1.0094879404223687e-12,-1.4663496147918156e-11,1.4897181823352162e-11,1.2344355815667797e-12,-1.041826824644678e-11
-9.938147638171054e-12,-1.2814334955192585e-11,0.0,0.0,0.0,0.0
-2.974545487721979e-11,-5.0941666697144395e-12,1.647315830198696e-11,-5.778581520475934e-11,-4.501945886329561e-13,2.8693741734206398e-11
3.982726588575028e-13,-6.8723011329988195e-12,-3.578848009027862e-12,-5.166452256212623e-12,0.0,0.0
4.5682895375033545e-11,1.3595568338204082e-11,1.3224542465119685e-11,-1.91283047422876e-11,-2.1175323890534023e-11,2.5552026642486337e-12
1.0961469455388275e-10,-7.820949316935601e-11,-7.540542959599382e-12,-3.4712071547281113e-10,4.7571429732927196e-11,1.1039204636987535e-10
-6.689540069157508e-12,-5.620978269310364e-13,7.74034655792548e-13,0.0,0.0,-2.422478782740358e-11
-7.026699840647394e-12,3.001188989308494e-12,1.8613384948673582e-11,2.416814543362957e-10,-7.651056718538654e-12,-1.5644721461733402e-11
4.422013678115e-10,2.6506016687262984e-11,-2.4115943039079095e-10,-1.7207921173075526e-11,-5.94553553640694e-12,0.0
0.0,0.0,-2.5165131950642464e-12,0.0,-3.468141400429094e-12,-2.090892932873098e-11
4.849038225780877e-11,-5.861152038246067e-11,8.3578306343515e-11,-2.0811952624214375e-11,-1.145963612731223e-12,0.0
0.0,0.0,0.0,0.0,-5.604352263270229e-13,-1.079220988787427e-11
-2.4546204009324298e-11,-2.3477020575458285e-12,1.0349224972839528e-11,6.575125842299978e-11,2.040160881145306e-11,-1.182017197350596e-10
0.0,0.0,0.0,5.0239236072956126e-11,-2.6092762232129807e-12,-7.883166001481536e-11
-8.285616182889384e-11,1.9043507615144018e-11,3.185873556821473e-11,0.0,0.0,0.0
-1.7560809968117956e-11,-4.841189286550036e-13,0.0,-7.807580123320296e-12,-4.303794268655579e-12,9.547257416508259e-12
-2.7234939466425005e-11,-2.348121235296557e-12,3.5284738067520086e-11,0.0,0.0,0.0
0.0,-7.29448934316951e-12,-8.742557324449771e-13,2.0671221061793166e-11,1.7741919014395726e-12,-2.1781711572697757e-11
