hydrogen production,forward bid
10.0,-4.449204326666666
10.0,-4.344647746666666
10.0,-4.27932503
10.0,-4.2220174366666665
0.0,5.687370883333332
0.0,5.520367076666667
0.0,4.99229712
0.0,4.894110123333333
0.0,4.527829923333334
0.0,4.266781636666666
0.0,3.85344511
0.0,3.740787966666667
0.0,3.871178633333333
10.0,-6.065616273333333
0.0,4.002185863333334
4.440892098500626e-16,-10.000000001167349
0.0,-10.0000000017914
0.0,3.88712656
0.0,3.9218062399999996
0.0,3.9228403
0.0,3.816817696666667
0.0,4.260205236666667
0.0,4.484055273333333
0.0,4.6408072633333335
0.0,4.579033866666667
0.0,4.46837144
0.0,4.45030036
0.0,4.127538316666667
0.0,4.08938164
0.0,4.010043896666667
0.0,4.02036292
0.0,4.080716256666666
0.0,4.236336666666666
0.0,4.17800218
0.0,3.95666723
0.0,3.6155718133333337
10.0,-6.597175773333333
10.0,-6.850952374
10.0,-7.113363010666667
10.0,-7.293101958333334
0.0,2.6563185229999995
0.0,-10.000000002357407
0.0,2.4832298610000003
0.0,2.2573373703333335
0.0,2.0596818126666667
0.0,1.786587661
0.0,1.4773982686666667
10.0,-8.744344661666666
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,2.5430372109999997
0.0,2.7535573356666667
0.0,-10.0
0.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-9.999999999999982
10.0,-10.0
10.0,-10.0
0.0,1.949831138
0.0,1.6620787220000004
0.0,1.4479955893333383
0.0,1.2389315073333371
0.0,-10.0
0.0,1.0197059276666707
2.220446049250313e-16,0.9679960063333333
0.0,0.9544975383333458
0.0,0.9651519550000032
5.10702591327572e-15,0.9692476339999949
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,-10.0
0.0,0.7226302746666668
0.0,-10.0
0.0,-10.0
10.0,-10.0
10.0,-9.364621486
10.0,-9.327346052666666
10.0,-9.170988206666667
10.0,-9.083415071666666
